metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Total Body Distance,m,12,6.804290954881359,3.3737958931879652,6.992507915381745,3.8789860561174305,9.286609750032673,12,7.332600948950105,4.11898658180109,7.269810120330575,4.388547227233027,9.02498171351636,Paired t-test,12,-0.5359789526032137,0.602642356970067,False,-0.16160373466477643,negligible
Net Body Displacement,m,12,2.04008219483647,1.469376213985343,1.7064075495540734,1.107612493275247,3.028273357638438,12,1.7339459198551772,1.5020515690234033,1.633897632226919,0.30465732117041294,2.44446469314746,Paired t-test,12,0.5897946655107417,0.5672456221669353,False,0.17782978262293606,negligible
Average Body Speed,km/h,12,1.4119645136846213,0.6669748809525772,1.4766957181034088,0.8198726112504453,1.9764173574218504,12,1.549463010841671,0.8704123457435594,1.535139650403565,0.9259854296445407,1.9037204838936908,Paired t-test,12,-0.6866494698395692,0.5065205944178715,False,-0.20703260490493705,small
Peak Body Speed,km/h,12,803418.3210420348,439614.29665066587,774622.8451191459,500142.86685006425,1130114.1586169507,12,659136.1130468847,461813.10963134246,588940.3006225985,330343.7552315998,896465.8821380787,Paired t-test,12,0.6830340536214579,0.508715633792421,False,0.20594251589980606,small
Cumulative Head Rotation,rad,12,23.522006459432465,8.829987773652372,23.879699806031773,16.266353794866095,27.8003366512074,12,18.39775584035329,5.929546330534187,16.974277703607854,14.779396451531198,20.72143087937339,Paired t-test (one-tailed: fog > nofog),12,1.9312732165360986,0.03980702944987516,True,0.5823007842648216,medium
Average Head Angular Speed,rad/s,12,1.355237730488443,0.4638862807674893,1.399491283905025,0.9616614410420413,1.6306403289315567,12,1.0801772116110033,0.34935512664298735,0.9967047937380513,0.8653218431876495,1.217020133309508,Paired t-test (one-tailed: fog > nofog),12,1.9893196891012788,0.036055346574273305,True,0.5998024542559452,medium
Peak Head Angular Speed,rad/s,12,768744.950306823,430111.04506584536,740213.8946610293,454044.9533660293,918081.5515679804,12,525014.3844124922,355796.35985358164,325676.1517527276,277028.13302386855,907705.0770127308,Paired t-test,12,1.3550070554214089,0.202588296863237,False,0.40854999919246526,small
Yaw Range,rad,12,6.2731487449735175,0.009223826884658098,6.2755395498615005,6.271061041272236,6.278947825564105,12,6.275115380319396,0.007024893068680221,6.275256055513961,6.274123037721207,6.279648795946566,Paired t-test,12,-0.9365927639803392,0.369075666543746,False,-0.28239334358951607,small
Pitch Range,rad,12,3.0570817519190494,0.12007180945292122,3.0907221829315024,3.057595145027043,3.117820027036106,12,2.9280298822760122,0.3570308141707862,3.075696728765474,2.9634500477321817,3.0989907551631406,Wilcoxon signed-rank,12,29.0,0.4697265625,False,0.3395157764486057,small
Roll Range,rad,12,6.280938194855622,0.0018259105120742149,6.281472653411091,6.2806333162084975,6.282386841215119,12,6.2784251874357,0.004531217353448258,6.279718874845505,6.278299115544527,6.280642197658436,Wilcoxon signed-rank,12,16.0,0.0771484375,False,0.47978375702241743,small
Cumulative Vertical Rotation (Pitch),rad,12,18.01250419041462,7.695765815363102,19.56246406434792,10.556212883769707,21.643504830487096,12,14.292045164047535,5.931876816436659,13.553876912028347,11.168692710038076,17.97965978786203,Paired t-test (one-tailed: fog > nofog),12,1.7993876445638277,0.04970871043135139,True,0.5425357881290547,medium
Cumulative Horizontal Rotation (Yaw),rad,12,22.558087797754784,10.122998288354317,23.68393585556818,16.044326105715644,26.804607066666442,12,16.563931052526932,5.212665055467502,17.23318827791295,13.096692804742435,20.497377045663626,Paired t-test (one-tailed: fog > nofog),12,2.1960109450550425,0.025218117703410165,True,0.6621222127510311,medium
Viewing Sphere Coverage,%,12,1.6205684760453085,0.18958089266347622,1.660578690715433,1.5209150780639475,1.7072593702809469,12,1.4513972997769349,0.24666955519959832,1.5071383038264703,1.4013035095953383,1.6084408845013158,Paired t-test (one-tailed: fog > nofog),12,2.104953615284454,0.02954561905551124,True,0.6346673948182402,medium
Viewing Sphere Coverage (with FOV),%,12,86.18323603414323,10.445303323914938,90.51669399073133,79.5972607471711,93.27444520102536,12,74.10414336372327,13.4247259068533,73.72777603686694,68.6062856545167,85.84640781906188,Paired t-test (one-tailed: fog > nofog),12,3.19458620496765,0.004268273784933555,True,0.9632039820293715,large
