metric,unit,fog_n,fog_median,fog_mad,fog_q25,fog_q75,fog_iqr,nofog_n,nofog_median,nofog_mad,nofog_q25,nofog_q75,nofog_iqr,test,n_pairs,statistic,p_value,significant,effect_size_r,effect_size
Total Body Distance,m,13,6.672669086786863,2.8711107690208637,3.8015583177659993,9.142042778048609,5.340484460282609,13,8.277956852722248,2.9192188329103326,4.510444066397178,10.230857348680871,5.720413282283693,Wilcoxon signed-rank (two-sided),13,32.0,0.375732421875,False,2.4615384615384617,large
Net Body Displacement,m,13,1.70138173911667,1.270976155369116,1.2448085244710256,2.996151350496178,1.7513428260251525,13,1.6400468073925414,1.410792247350697,0.3297915748799358,3.1218762685402006,2.792084693660265,Wilcoxon signed-rank (two-sided),13,44.0,0.946044921875,False,3.384615384615385,large
Average Body Speed,km/h,13,1.4088920065942936,0.604707616891767,0.8041843897025266,1.9507745574304112,1.1465901677278847,13,1.5762846805413864,0.624937209306922,0.9513474712344644,2.1594211101812344,1.20807363894677,Wilcoxon signed-rank (two-sided),13,31.0,0.339599609375,False,2.3846153846153846,large
Peak Body Speed,km/h,13,739158.346390674,377567.68525601726,439144.7723294379,1116726.0316466913,677581.2593172534,13,592488.7203341316,350773.2107718084,359886.50378802535,1132604.496910668,772717.9931226426,Wilcoxon signed-rank (two-sided),13,43.0,0.892578125,False,3.3076923076923084,large
Cumulative Head Rotation,rad,13,22.52445972867379,7.1194261168575625,15.405033611816227,26.50381830056903,11.098784688752803,13,17.75319313819188,4.300197701607928,13.45299543658395,18.69469078940437,5.241695352820418,Wilcoxon signed-rank (greater),13,62.0,0.13671875,False,4.769230769230769,large
Average Head Angular Speed,rad/s,13,1.3195348405784293,0.38894201637785975,0.9305928242005695,1.5534739054316296,0.62288108123106,13,0.9372458239125924,0.16134328047739233,0.7891245563458442,1.0985891043899847,0.3094645480441405,Wilcoxon signed-rank (greater),13,63.0,0.1219482421875,False,4.846153846153847,large
Peak Head Angular Speed,rad/s,13,696498.708924402,282246.4855421116,414252.2233822904,876966.3864673089,462714.16308501846,13,334471.60139036103,115492.89946635888,278069.12436629186,888199.2243710802,610130.1000047883,Wilcoxon signed-rank (two-sided),13,32.0,0.375732421875,False,2.4615384615384617,large
Yaw Range,rad,13,6.2755164080695,0.004585713474631881,6.270587508779293,6.2785630602374285,0.007975551458135222,13,6.275605833046425,0.004034650705873943,6.2741978595431025,6.279673732529368,0.005475872986265173,Wilcoxon signed-rank (two-sided),13,31.0,0.339599609375,False,2.3846153846153846,large
Pitch Range,rad,13,3.087518802060511,0.033956706250435786,3.044239118929436,3.116601533277825,0.07236241434838897,13,3.0751369604760788,0.03023129542318337,3.0413328729488485,3.0968649215844337,0.05553204863558525,Wilcoxon signed-rank (two-sided),13,42.0,0.83935546875,False,3.2307692307692313,large
Roll Range,rad,13,6.281343146969636,0.0010484510727195584,6.280059238268671,6.28238525560604,0.002326017337368924,13,6.279830553630624,0.0011990449137186943,6.278631508716905,6.280870342368168,0.0022388336512628726,Wilcoxon signed-rank (two-sided),13,29.0,0.2734375,False,2.230769230769231,large
Cumulative Vertical Rotation (Pitch),rad,13,19.51716853456747,8.5631604915895,9.36282740614491,21.280844711506713,11.918017305361802,13,13.665771915178464,4.11562109269061,9.550150822487854,16.792680142645104,7.242529320157249,Wilcoxon signed-rank (greater),13,62.0,0.13671875,False,4.769230769230769,large
Cumulative Horizontal Rotation (Yaw),rad,13,22.524462329257332,6.41218045420716,15.84045879771206,26.575027163271844,10.734568365559785,13,17.225697201998138,3.313874874473198,13.91182232752494,20.427514327155816,6.515691999630876,Wilcoxon signed-rank (greater),13,65.0,0.095458984375,False,5.0,large
Viewing Sphere Coverage,%,13,1.6400902872519805,0.11392821519548679,1.5051740960863094,1.697563884547317,0.19238978846100774,13,1.5338342378446022,0.14948408719413986,1.3044028688569136,1.6273718473983911,0.32296897854147755,Wilcoxon signed-rank (greater),13,60.0,0.1697998046875,False,4.615384615384616,large
Viewing Sphere Coverage (with FOV),%,13,90.01536352869394,5.515787795051963,77.85219646311566,92.83203943962108,14.979842976505424,13,71.87279853093345,6.158603716950239,68.34653996566527,85.64308436418486,17.296544398519586,Wilcoxon signed-rank (greater),13,73.0,0.0286865234375,True,5.615384615384616,large
